%Wavelength (nm)	O2Hb (mm^-1mM^-1)	HHb (mm^-1mM^-1)	Water (mm^-1)	Lipid (mm^-1)
600 0.883272    3.462167    0.0002224   0.000466
727	1.14E-01	0.30559	0.001691489	0.000447
728	0.115129	0.303941	0.00177585	0.000463
729	1.16E-01	0.302417	0.001854826	0.00048
730	0.116971	0.301178	0.00197441	0.000499
731	1.18E-01	0.300446	0.00208007	0.000516
732	0.118813	0.300257	0.002186095	0.000535
733	1.20E-01	0.300566	0.002301568	0.000552
734	0.120655	0.301178	0.002426614	0.000564
735	1.22E-01	0.301945	0.002509069	0.000576
736	0.122498	0.30302	0.002582038	0.000589
737	1.23E-01	0.304593	0.002646795	0.0006
738	0.12434	0.306704	0.002706236	0.000616
739	1.25E-01	0.309313	0.002753663	0.000636
740	0.126182	0.312231	0.002780924	0.000654
741	1.27E-01	0.315304	0.002804338	0.00068
742	0.128024	0.318678	0.002813927	0.000707
743	1.29E-01	0.322542	0.002826371	0.000735
744	0.129866	0.326967	0.002837568	0.000768
745	1.31E-01	0.331922	0.002832668	0.000801
746	0.131708	0.337098	0.002843085	0.000837
747	1.33E-01	0.342194	0.002842442	0.000874
748	0.13355	0.34723	0.002848494	0.000908
749	1.35E-01	0.352284	0.002852572	0.000941
750	0.136313	0.357361	0.00285328	0.000972
751	1.37E-01	0.362438	0.002861953	0.001
752	0.138155	0.367493	0.002858476	0.00103
753	1.39E-01	0.372406	0.002870406	0.00106
754	0.139997	0.376703	0.002866201	0.00109
755	1.41E-01	0.37995	0.002875585	0.00112
756	0.141839	0.382229	0.002876949	0.00116
757	1.43E-01	0.383673	0.00287122	0.00119
758	0.144602	0.384071	0.002868523	0.00123
759	1.46E-01	0.383228	0.002863259	0.00126
760	0.146444	0.381308	0.002861621	0.00128
761	1.47E-01	0.37852	0.002873257	0.00129
762	0.148286	0.374861	0.002870099	0.00129
763	1.49E-01	0.370283	0.002865499	0.00127
764	0.150129	0.364729	0.002861673	0.00125
765	1.52E-01	0.358197	0.002859644	0.00121
766	0.152892	0.350914	0.002850933	0.00115
767	1.54E-01	0.343166	0.002833701	0.00109
768	0.154734	0.335256	0.002830706	0.00102
769	1.56E-01	0.327421	0.002826937	0.000948
770	0.157497	0.319599	0.002824503	0.000871
771	1.59E-01	0.311719	0.002813336	0.000793
772	0.159339	0.303941	0.002792704	0.000719
773	1.60E-01	0.296435	0.002779551	0.000653
774	0.161181	0.289205	0.002776291	0.000596
775	1.63E-01	0.282207	0.0027585	0.000553
776	0.163944	0.275389	0.002753041	0.000515
777	1.65E-01	0.268749	0.002743152	0.000481
778	0.165786	0.262495	0.002723577	0.000451
779	1.67E-01	0.2568	0.00270794	0.000426
780	0.168549	0.251442	0.002690492	0.000409
781	1.69E-01	0.246209	0.002661718	0.000391
782	0.170391	0.241311	0.002641006	0.000378
783	1.72E-01	0.236966	0.002625523	0.000366
784	0.173154	0.233022	0.002609012	0.00036
785	1.74E-01	2.29E-01	0.002591474	0.000357
786	0.174996	0.225653	0.002563853	0.000355
787	1.76E-01	2.22E-01	0.002531684	0.000353
788	0.17776	0.219206	0.002511814	0.000349
789	1.79E-01	2.17E-01	0.002491397	0.000346
790	0.180523	0.214601	0.002463746	0.000346
791	1.81E-01	2.12E-01	0.002448075	0.000347
792	0.182365	0.209996	0.002422891	0.000347
793	1.84E-01	2.08E-01	0.002392497	0.000347
794	0.185128	0.205391	0.00236912	0.000352
795	1.86E-01	2.03E-01	0.002354041	0.000359
796	0.18697	0.201706	0.002338836	0.000369
797	1.88E-01	2.00E-01	0.002323948	0.000379
798	0.189733	0.198943	0.002302244	0.000387
799	1.91E-01	1.98E-01	0.002271586	0.000393
800	0.191575	0.198022	0.002246239	0.000403
801	1.92E-01	1.98E-01	0.002243339	0.000413
802	1.93E-01	1.97E-01	0.002234299	0.000424
803	1.94E-01	1.97E-01	0.00221613	0.000434
804	1.95E-01	1.96E-01	0.002203259	0.000442
805	1.96E-01	1.96E-01	0.002200329	0.000454
806	1.96E-01	1.95E-01	0.002200729	0.000467
807	1.97E-01	1.95E-01	0.0021885	0.000482
808	1.98E-01	1.94E-01	0.002178196	0.000497
809	1.99E-01	1.93E-01	0.002189242	0.000511
810	2.00E-01	1.92E-01	0.002187531	0.000527
811	2.01E-01	1.92E-01	0.00219004	0.000547
812	2.02E-01	1.91E-01	0.002201706	0.000567
813	2.03E-01	1.90E-01	0.002210321	0.000583
814	2.03E-01	1.89E-01	0.002218503	0.000594
815	2.04E-01	1.88E-01	0.002234492	0.000603
816	2.05E-01	1.87E-01	0.002255477	0.000615
817	2.06E-01	1.87E-01	0.002276405	0.000633
818	2.07E-01	1.86E-01	0.002298093	0.000654
819	2.08E-01	1.85E-01	0.002313997	0.000674
820	2.09E-01	1.84E-01	0.002341478	0.000691
821	2.10E-01	1.83E-01	0.002387763	0.000708
822	2.11E-01	1.82E-01	0.002427632	0.000724
823	2.12E-01	1.81E-01	0.002475926	0.00074
824	2.13E-01	1.81E-01	0.002535568	0.000758
825	2.14E-01	1.80E-01	0.002610031	0.000775
826	2.15E-01	1.79E-01	0.002721295	0.000786
827	2.16E-01	1.79E-01	0.002829698	0.000796
828	2.17E-01	1.78E-01	0.002939154	0.000799
829	2.18E-01	1.77E-01	0.003077935	0.000802
830	2.19E-01	1.77E-01	0.003218351	0.000803
831	2.20E-01	1.76E-01	0.003349583	0.000803
832	2.21E-01	1.76E-01	0.003470787	0.000801
833	2.22E-01	1.75E-01	0.003577023	0.000794
834	2.23E-01	1.75E-01	0.003657882	0.000785
835	2.24E-01	1.75E-01	0.003722314	0.000775
836	2.25E-01	1.75E-01	0.003781945	0.000764
837	2.26E-01	1.75E-01	0.003833369	0.000757
838	2.27E-01	1.75E-01	0.003877397	0.000751
839	2.27E-01	1.75E-01	0.003912648	0.000739
840	0.228416	0.174996	0.003939293	0.000726
841	2.29E-01	1.75E-01	0.003972241	0.000715
842	0.230272	1.76E-01	0.004006954	0.000703
843	0.231193	1.76E-01	0.004033711	0.000692
844	0.23211	1.76E-01	0.004059911	0.000685
